JockeyCode,NameE,Rank,First,Second,Third,TotalRuns,Win,Place
MOJ,J Moreira,1,71,48,43,341,21,48
PZ,Z Purton,2,61,60,33,333,18,46
TEK,K Teetan,3,33,30,35,314,11,31
RN,N Rawiller,4,28,30,28,244,11,35
LDE,K C Leung,5,25,20,27,306,8,24
SCC,C Schofield,6,23,14,17,208,11,26
MHT,H T Mo,7,22,29,13,257,9,25
RU,U Rispoli,8,19,17,24,272,7,22
PMF,M F Poon,9,16,24,33,269,6,27
CAN,N Callan,10,16,12,15,209,8,21
CSF,S Clipperton,11,13,17,14,219,6,20
PB,B Prebble,12,13,16,18,213,6,22
YML,M L Yeung,13,13,12,13,242,5,16
HCY,C Y Ho,14,13,7,14,236,6,14
BT,T Berry,15,10,18,22,233,4,21
WD,D Whyte,16,9,19,13,200,5,21
CML,M Chadwick,17,9,18,8,200,5,18
WJH,H N Wong,18,9,4,9,134,7,16
DO,O Doleuze,19,7,11,6,137,5,18
SAA,A Sanna,20,4,2,1,86,5,8
BPC,P-C Boudot,21,4,1,7,49,8,24
LWM,W M Lai,22,3,6,10,179,2,11
NGA,K C Ng,23,1,2,4,146,1,5
BH,H Bowman,24,0,2,3,15,0,33
MG,G Mosse,25,0,0,2,12,0,17
LHW,H W Lai,26,0,0,0,14,0,0
SC,C Soumillon,27,0,0,0,0,0,0
STH,T H So,27,0,0,0,0,0,0
BA,A Badel,,14,16,19,205,7,24
DSS,S de Sousa,,1,1,0,6,17,33
MR,R Moore,,1,0,1,8,13,25
GM,M Guyon,,0,1,1,2,0,100
PFE,F Prat,,0,1,0,4,0,25
TOK,K Tosaki,,0,0,1,4,0,25
HL,L Henrique,,0,0,1,7,0,14
DC,C Demuro,,0,0,0,4,0,0
MOD,O Murphy,,0,0,0,6,0,0
TY,Y Take,,0,0,0,1,0,0
AA,A Atzeni,,0,0,0,1,0,0
BFX,F-X Bertras,,0,0,0,1,0,0
CRJ,J Crowley,,0,0,0,1,0,0
DM,M Demuro,,0,0,0,1,0,0
PO,O Peslier,,0,0,0,1,0,0
LSM,S Levey,,0,0,0,1,0,0
IY,Y Iwata,,0,0,0,1,0,0
SCG,G Schofield,,0,0,0,2,0,0
HJA,J Heffernan,,0,0,0,2,0,0
PS,S Pasquier,,0,0,0,2,0,0
WC,C Williams,,0,0,0,3,0,0
